Version,Date_of_report,Date_of_statistics,Perc_covid_symptoms,MA_perc_covid_symptoms
1,2022-04-26 10:00:00,2021-05-28,1.81818181818182,1.624
1,2022-04-26 10:00:00,2021-05-29,1.29533678756477,1.621
1,2022-04-26 10:00:00,2021-05-30,1.49511213341001,1.643
1,2022-04-26 10:00:00,2021-05-31,1.89753320683112,1.654
1,2022-04-26 10:00:00,2021-06-01,1.41093474426808,1.674
1,2022-04-26 10:00:00,2021-06-02,1.98135198135198,1.774
1,2022-04-26 10:00:00,2021-06-03,1.67966406718656,1.789
1,2022-04-26 10:00:00,2021-06-04,1.95707070707071,1.742
1,2022-04-26 10:00:00,2021-06-05,1.99875078076202,1.813
1,2022-04-26 10:00:00,2021-06-06,1.59908623643632,1.763
1,2022-04-26 10:00:00,2021-06-07,1.56402737047898,1.66
1,2022-04-26 10:00:00,2021-06-08,1.90861769809138,1.62
1,2022-04-26 10:00:00,2021-06-09,1.63240628778718,1.535
1,2022-04-26 10:00:00,2021-06-10,0.960960960960961,1.497
1,2022-04-26 10:00:00,2021-06-11,1.6728624535316,1.436
1,2022-04-26 10:00:00,2021-06-12,1.40845070422535,1.387
1,2022-04-26 10:00:00,2021-06-13,1.33185349611543,1.293
1,2022-04-26 10:00:00,2021-06-14,1.1340206185567,1.356
1,2022-04-26 10:00:00,2021-06-15,1.56521739130435,1.341
1,2022-04-26 10:00:00,2021-06-16,0.979192166462668,1.418
1,2022-04-26 10:00:00,2021-06-17,1.39732685297691,1.504
1,2022-04-26 10:00:00,2021-06-18,1.57430730478589,1.542
1,2022-04-26 10:00:00,2021-06-19,1.94369973190349,1.502
1,2022-04-26 10:00:00,2021-06-20,1.93208430913349,1.559
1,2022-04-26 10:00:00,2021-06-21,1.40562248995984,1.617
1,2022-04-26 10:00:00,2021-06-22,1.27832655432888,1.645
1,2022-04-26 10:00:00,2021-06-23,1.38104205900816,1.661
1,2022-04-26 10:00:00,2021-06-24,1.8018018018018,1.66
1,2022-04-26 10:00:00,2021-06-25,1.7743979721166,1.723
1,2022-04-26 10:00:00,2021-06-26,2.05570291777188,1.784
1,2022-04-26 10:00:00,2021-06-27,1.91961607678464,1.871
1,2022-04-26 10:00:00,2021-06-28,1.85,1.913
1,2022-04-26 10:00:00,2021-06-29,1.70835875533862,1.996
1,2022-04-26 10:00:00,2021-06-30,1.98915009041591,1.97
1,2022-04-26 10:00:00,2021-07-01,2.09287115761936,2.031
1,2022-04-26 10:00:00,2021-07-02,2.35585864848109,2.107
1,2022-04-26 10:00:00,2021-07-03,1.87369882026371,2.201
1,2022-04-26 10:00:00,2021-07-04,2.35017626321974,2.24
1,2022-04-26 10:00:00,2021-07-05,2.38095238095238,2.189
1,2022-04-26 10:00:00,2021-07-06,2.36363636363636,2.223
1,2022-04-26 10:00:00,2021-07-07,2.26272784412319,2.475
1,2022-04-26 10:00:00,2021-07-08,1.7379679144385,2.413
1,2022-04-26 10:00:00,2021-07-09,2.59136212624585,2.489
1,2022-04-26 10:00:00,2021-07-10,3.63997352746525,2.548
1,2022-04-26 10:00:00,2021-07-11,1.91657271702368,2.697
1,2022-04-26 10:00:00,2021-07-12,2.9126213592233,2.847
1,2022-04-26 10:00:00,2021-07-13,2.77606415792721,2.828
1,2022-04-26 10:00:00,2021-07-14,3.3015873015873,2.648
1,2022-04-26 10:00:00,2021-07-15,2.79402209226771,2.753
1,2022-04-26 10:00:00,2021-07-16,2.45358090185676,2.651
1,2022-04-26 10:00:00,2021-07-17,2.38095238095238,2.593
1,2022-04-26 10:00:00,2021-07-18,2.65379975874548,2.529
1,2022-04-26 10:00:00,2021-07-19,2.19368646334938,2.435
1,2022-04-26 10:00:00,2021-07-20,2.37131289762869,2.386
1,2022-04-26 10:00:00,2021-07-21,2.85351934051997,2.399
1,2022-04-26 10:00:00,2021-07-22,2.14132762312634,2.386
1,2022-04-26 10:00:00,2021-07-23,2.10602759622367,2.43
1,2022-04-26 10:00:00,2021-07-24,2.4745269286754,2.33
1,2022-04-26 10:00:00,2021-07-25,2.56241787122208,2.275
1,2022-04-26 10:00:00,2021-07-26,2.50266240681576,2.194
1,2022-04-26 10:00:00,2021-07-27,1.66987797045601,2.144
1,2022-04-26 10:00:00,2021-07-28,2.47148288973384,2.047
1,2022-04-26 10:00:00,2021-07-29,1.57430730478589,1.962
1,2022-04-26 10:00:00,2021-07-30,1.75202156334232,1.856
1,2022-04-26 10:00:00,2021-07-31,1.79310344827586,1.858
1,2022-04-26 10:00:00,2021-08-01,1.96923076923077,1.818
1,2022-04-26 10:00:00,2021-08-02,1.76136363636364,1.822
1,2022-04-26 10:00:00,2021-08-03,1.6839378238342,1.914
1,2022-04-26 10:00:00,2021-08-04,2.18931101094656,1.826
1,2022-04-26 10:00:00,2021-08-05,1.60750167448091,1.743
1,2022-04-26 10:00:00,2021-08-06,2.39561943874059,1.661
1,2022-04-26 10:00:00,2021-08-07,1.17647058823529,1.563
1,2022-04-26 10:00:00,2021-08-08,1.38364779874214,1.452
1,2022-04-26 10:00:00,2021-08-09,1.19176598049837,1.376
1,2022-04-26 10:00:00,2021-08-10,0.994694960212201,1.236
1,2022-04-26 10:00:00,2021-08-11,1.41661300708307,1.293
1,2022-04-26 10:00:00,2021-08-12,1.07066381156317,1.26
1,2022-04-26 10:00:00,2021-08-13,1.41743444365698,1.257
1,2022-04-26 10:00:00,2021-08-14,1.57534246575342,1.329
1,2022-04-26 10:00:00,2021-08-15,1.15163147792706,1.446
1,2022-04-26 10:00:00,2021-08-16,1.17122141662019,1.488
1,2022-04-26 10:00:00,2021-08-17,1.5003261578604,1.454
1,2022-04-26 10:00:00,2021-08-18,2.2353714661407,1.442
1,2022-04-26 10:00:00,2021-08-19,1.36518771331058,1.511
1,2022-04-26 10:00:00,2021-08-20,1.18219749652295,1.478
1,2022-04-26 10:00:00,2021-08-21,1.48698884758364,1.44
1,2022-04-26 10:00:00,2021-08-22,1.63398692810458,1.318
1,2022-04-26 10:00:00,2021-08-23,0.941730429664508,1.259
1,2022-04-26 10:00:00,2021-08-24,1.23188405797101,1.298
1,2022-04-26 10:00:00,2021-08-25,1.38121546961326,1.338
1,2022-04-26 10:00:00,2021-08-26,0.952380952380952,1.309
1,2022-04-26 10:00:00,2021-08-27,1.46036161335188,1.317
1,2022-04-26 10:00:00,2021-08-28,1.76470588235294,1.352
1,2022-04-26 10:00:00,2021-08-29,1.43302180685358,1.315
1,2022-04-26 10:00:00,2021-08-30,0.993377483443709,1.454
1,2022-04-26 10:00:00,2021-08-31,1.47551978537894,1.532
1,2022-04-26 10:00:00,2021-09-01,1.12508272667108,1.479
1,2022-04-26 10:00:00,2021-09-02,1.92307692307692,1.626
1,2022-04-26 10:00:00,2021-09-03,2.00743494423792,1.752
1,2022-04-26 10:00:00,2021-09-04,1.39500734214391,1.767
1,2022-04-26 10:00:00,2021-09-05,2.46593121349773,1.814
1,2022-04-26 10:00:00,2021-09-06,1.86862967157418,1.867
1,2022-04-26 10:00:00,2021-09-07,1.5862524785195,1.826
1,2022-04-26 10:00:00,2021-09-08,1.45137880986938,1.894
1,2022-04-26 10:00:00,2021-09-09,2.29485396383867,1.734
1,2022-04-26 10:00:00,2021-09-10,1.71796707229778,1.72
1,2022-04-26 10:00:00,2021-09-11,1.87061574434918,1.674
1,2022-04-26 10:00:00,2021-09-12,1.34874759152216,1.787
1,2022-04-26 10:00:00,2021-09-13,1.76839703365659,1.631
1,2022-04-26 10:00:00,2021-09-14,1.26751167444963,1.675
1,2022-04-26 10:00:00,2021-09-15,2.23880597014925,1.702
1,2022-04-26 10:00:00,2021-09-16,1.20567375886525,1.832
1,2022-04-26 10:00:00,2021-09-17,2.02492211838006,1.786
1,2022-04-26 10:00:00,2021-09-18,2.05949656750572,1.745
1,2022-04-26 10:00:00,2021-09-19,2.25988700564972,1.865
1,2022-04-26 10:00:00,2021-09-20,1.44759698899826,2.046
1,2022-04-26 10:00:00,2021-09-21,0.975609756097561,2.025
1,2022-04-26 10:00:00,2021-09-22,3.08430431802605,2.025
1,2022-04-26 10:00:00,2021-09-23,2.47349823321555,1.883
1,2022-04-26 10:00:00,2021-09-24,1.87687687687688,2.051
1,2022-04-26 10:00:00,2021-09-25,2.05792682926829,2.278
1,2022-04-26 10:00:00,2021-09-26,1.26666666666667,2.156
1,2022-04-26 10:00:00,2021-09-27,2.62237762237762,2.019
1,2022-04-26 10:00:00,2021-09-28,2.5676613462873,2.127
1,2022-04-26 10:00:00,2021-09-29,2.22531293463143,2.252
1,2022-04-26 10:00:00,2021-09-30,1.51296829971182,2.594
1,2022-04-26 10:00:00,2021-10-01,2.63752825923135,2.629
1,2022-04-26 10:00:00,2021-10-02,2.9320987654321,2.608
1,2022-04-26 10:00:00,2021-10-03,3.65853658536585,2.64
1,2022-04-26 10:00:00,2021-10-04,2.86861732644865,2.708
1,2022-04-26 10:00:00,2021-10-05,2.41992882562278,2.839
1,2022-04-26 10:00:00,2021-10-06,2.44926522043387,2.878
1,2022-04-26 10:00:00,2021-10-07,1.99203187250996,2.723
1,2022-04-26 10:00:00,2021-10-08,3.55072463768116,2.665
1,2022-04-26 10:00:00,2021-10-09,3.20987654320988,
1,2022-04-26 10:00:00,2021-10-10,2.56904303147078,
1,2022-04-26 10:00:00,2021-10-11,2.46418338108883,
1,2022-04-26 10:00:00,2021-10-12,,
1,2022-04-26 10:00:00,2021-10-13,,
1,2022-04-26 10:00:00,2021-10-14,,
1,2022-04-26 10:00:00,2021-10-15,,
1,2022-04-26 10:00:00,2021-10-16,,
1,2022-04-26 10:00:00,2021-10-17,,
1,2022-04-26 10:00:00,2021-10-18,,
1,2022-04-26 10:00:00,2021-10-19,,
1,2022-04-26 10:00:00,2021-10-20,3.42007434944238,
1,2022-04-26 10:00:00,2021-10-21,3.66492146596859,
1,2022-04-26 10:00:00,2021-10-22,3.77794911333847,
1,2022-04-26 10:00:00,2021-10-23,4.6031746031746,3.951
1,2022-04-26 10:00:00,2021-10-24,4.15601023017903,4.133
1,2022-04-26 10:00:00,2021-10-25,4.31738623103851,4.097
1,2022-04-26 10:00:00,2021-10-26,3.71900826446281,4.18
1,2022-04-26 10:00:00,2021-10-27,4.69516468114926,4.172
1,2022-04-26 10:00:00,2021-10-28,3.40909090909091,4.087
1,2022-04-26 10:00:00,2021-10-29,4.36067997043607,4.021
1,2022-04-26 10:00:00,2021-10-30,4.54545454545455,4.097
1,2022-04-26 10:00:00,2021-10-31,3.56100408639813,3.916
1,2022-04-26 10:00:00,2021-11-01,3.85542168674699,4.037
1,2022-04-26 10:00:00,2021-11-02,4.24948594928033,3.996
1,2022-04-26 10:00:00,2021-11-03,3.43406593406593,3.904
1,2022-04-26 10:00:00,2021-11-04,4.25531914893617,3.986
1,2022-04-26 10:00:00,2021-11-05,4.06932931424265,3.943
1,2022-04-26 10:00:00,2021-11-06,3.9039039039039,3.823
1,2022-04-26 10:00:00,2021-11-07,4.13609072715143,3.844
1,2022-04-26 10:00:00,2021-11-08,3.55160932297447,3.768
1,2022-04-26 10:00:00,2021-11-09,3.40831629175187,3.785
1,2022-04-26 10:00:00,2021-11-10,3.58108108108108,3.732
1,2022-04-26 10:00:00,2021-11-11,3.72759856630824,3.74
1,2022-04-26 10:00:00,2021-11-12,4.18888042650419,3.865
1,2022-04-26 10:00:00,2021-11-13,3.53117956423742,4.064
1,2022-04-26 10:00:00,2021-11-14,4.1927409261577,4.137
1,2022-04-26 10:00:00,2021-11-15,4.42274554853532,4.06
1,2022-04-26 10:00:00,2021-11-16,4.80439258750858,4.052
1,2022-04-26 10:00:00,2021-11-17,4.09276944065484,4.178
1,2022-04-26 10:00:00,2021-11-18,3.18696883852691,4.107
1,2022-04-26 10:00:00,2021-11-19,4.13533834586466,3.952
1,2022-04-26 10:00:00,2021-11-20,4.40835266821346,3.859
1,2022-04-26 10:00:00,2021-11-21,3.69685767097967,3.827
1,2022-04-26 10:00:00,2021-11-22,3.34128878281623,3.892
1,2022-04-26 10:00:00,2021-11-23,4.15248468345813,3.719
1,2022-04-26 10:00:00,2021-11-24,3.86779184247539,3.611
